duree	heureMinPlage	label
2935	16.700555555555553	1
43	16.909444444444443	1
2363	16.991666666666667	0
2952	1.6436111111111111	1
63	6.009166666666666	1
35	12.814444444444446	1
6752	15.436388888888889	1
67	20.65	1
1694	1.0422222222222224	1
40	12.04	1
52	17.11277777777778	1
4717	17.52111111111111	1
2049	13.016388888888889	0
2146	7.260833333333333	0
6283	8.4475	1
2798	22.75722222222222	1
45	9.090833333333334	1
2470	3.0275	1
60	17.91916666666667	1
4514	21.901666666666664	1
2375	0.1619444444444444	1
2029	16.778888888888886	0
4009	12.736944444444443	1
31	20.15194444444444	1
901	16.252222222222223	0
6463	5.335555555555556	1
48	21.175	1
1974	18.799444444444447	0
3200	23.211944444444445	1
1081	3.7966666666666655	1
3275	21.71583333333333	1
6642	20.784444444444446	1
1380	14.879444444444443	0
24	15.49111111111111	1
1385	13.965555555555556	0
21	9.771666666666668	1
1950	0.2683333333333333	1
2039	16.699444444444445	0
2283	19.011111111111116	0
7082	19.03333333333333	1
26	18.72888888888889	1
6113	14.911388888888888	1
633	6.446944444444445	0
5111	12.030833333333334	1
32	11.226944444444444	1
56	23.52694444444444	1
41	19.56277777777778	1
17	17.21833333333333	1
1932	16.50111111111111	0
35	18.461388888888887	1
5722	15.3775	1
1389	4.463333333333334	1
2836	4.5675	1
5277	16.995	1
871	3.625277777777778	1
2941	22.89472222222222	1
3849	8.89861111111111	1
1380	2.665833333333333	1
2446	3.551111111111111	1
5	2.404444444444444	1
1854	12.194166666666668	0
1807	23.695555555555558	1
622	19.61888888888889	0
5918	5.580555555555556	1
32	11.938611111111111	1
1122	13.806666666666668	0
293	9.951666666666666	0
2308	4.115833333333333	1
1502	2.3213888888888885	1
4822	8.973055555555556	1
2633	1.6030555555555557	1
3951	21.97472222222222	1
29	18.52777777777778	1
72	19.091388888888886	1
1942	4.8575	1
4674	22.475555555555555	1
3784	22.85	1
1105	1.458611111111111	1
2662	23.178611111111117	1
2956	0.605	1
13	17.271944444444443	1
4043	20.628055555555555	1
4179	8.661944444444444	1
3684	21.410833333333333	1
2709	2.905	1
708	3.855	1
2384	15.201666666666666	0
4166	15.171388888888888	1
269	0.7008333333333333	1
6165	15.246666666666666	1
6404	15.272222222222224	1
69	13.589722222222225	1
2233	0.5083333333333333	1
382	0.7152777777777777	1
67	4.474444444444445	1
1996	2.4722222222222223	1
187	1.738611111111111	1
2714	1.3169444444444445	1
3849	13.239722222222222	1
2978	1.9472222222222224	1
1210	19.135277777777777	0
2716	2.123333333333333	1
1891	17.860833333333336	0
2092	14.964444444444444	0
1753	6.004444444444444	1
5353	10.85611111111111	1
37	20.82555555555556	1
30	8.259166666666667	1
6237	17.240000000000002	1
854	3.2891666666666666	1
1687	16.85	0
69	18.53833333333333	1
1716	9.106944444444444	0
326	9.04	0
4124	16.335833333333333	1
2485	22.71611111111111	1
1214	0.2536111111111111	1
41	16.77	1
3007	7.772222222222222	1
61	20.49194444444445	1
1373	22.711666666666662	1
720	1.0288888888888887	1
757	17.262777777777778	0
2674	0.4013888888888889	1
1610	3.758888888888889	1
1269	9.09888888888889	0
2382	0.3486111111111111	1
3970	5.379722222222222	1
21	11.03138888888889	1
3429	22.304166666666667	1
2147	18.6075	0
27	15.078888888888889	1
2105	7.058888888888888	0
5746	13.37138888888889	1
64	11.034444444444444	1
3513	22.71361111111111	1
5977	19.32333333333333	1
3973	8.261944444444444	1
404	0.6158333333333333	1
2290	13.089444444444444	0
470	9.403055555555556	0
5400	11.575833333333334	1
91	3.326666666666666	1
1386	0.2377777777777777	1
1566	13.329444444444444	0
3475	13.329444444444444	1
1907	4.142777777777778	1
58	12.913055555555555	1
1470	1.585277777777778	1
552	13.654444444444444	0
47	12.071388888888889	1
785	1.488611111111111	1
4467	23.0675	1
6484	13.408055555555556	1
1467	0.0072222222222222	1
4933	8.028333333333334	1
2339	14.09888888888889	0
1535	3.798333333333333	1
3217	18.10138888888889	1
5822	14.080277777777775	1
48	14.495555555555557	1
3355	3.0219444444444443	1
38	13.066944444444443	1
5466	10.320277777777775	1
40	8.15611111111111	1
2411	8.560555555555556	0
4930	13.220277777777778	1
669	3.2816666666666667	1
47	12.837222222222223	1
2262	5.330555555555556	1
6185	9.526666666666667	1
4190	14.998333333333331	1
1050	3.683611111111112	1
237	19.76833333333333	0
58	16.618333333333332	1
17	15.835	1
1397	7.149444444444445	0
3324	15.768055555555556	1
996	19.504722222222224	0
46	10.606388888888889	1
6568	10.956944444444444	1
516	11.030277777777778	0
7	22.2275	1
12	13.389722222222222	1
428	2.3641666666666667	1
43	21.7375	1
20	15.331388888888888	0
303	18.03333333333333	0
53	20.55444444444445	1
328	3.456111111111112	1
2150	19.658055555555556	0
1036	6.581111111111111	0
760	13.863888888888887	0
52	9.601666666666668	1
56	6.557777777777778	1
1095	0.8372222222222223	1
5870	15.167222222222222	1
947	9.543055555555556	0
1644	9.904722222222222	0
26	16.717499999999998	1
